"Name","Start Date","End Date","URL","Key Generate URL","Status","Action"
"Pepsi","May 16, 2016","Jun 30, 2016","http://www.pepsi.com/en-us/","http://squibcard.com/campaign/Pepsi","Active",""
"gearboxrb","May 18, 2016","Jul 10, 2016","http://gearboxrb.com","","Active",""
"My SquibCard","May 24, 2016","Jul 01, 2016","http://jtfaasse.squibcard.com","","Active",""
"Tst","Jun 13, 2016","Jul 02, 2016","http://squibcard.com/#/","","Active",""
"Squibdrive","Jun 13, 2016","Jul 01, 2016","http://squibdrive.com","","Active",""
"The Undetectables","Jun 13, 2016","Oct 09, 2016","http://theundetectablesmovie.com","","Active",""
"DamarPlastics","Jun 14, 2016","Jul 10, 2016","http://damarplastics.com","","Active",""
"iNETready","Jun 14, 2016","Jul 10, 2016","http://inetready.com","","Active",""
"Test Random Keys","Jun 15, 2016","Jun 30, 2016","https://www.google.co.in","","Active",""
"Random Keys Again","Jun 15, 2016","Jun 30, 2016","http://squibcard.com/#/","","Active",""
"test campaign","Jun 19, 2016","Jun 29, 2016","http://dev.squibdrive.net/drive/file/1/1/How to Target Local Customers With Facebook.pdf","","Active",""
"cxv","Jun 19, 2016","Jun 29, 2016","http://dev.squibdrive.net/drive/file/1/2/SQUIBdrive-Manual.docx.docx","","Active",""
"last test","Jun 20, 2016","Jun 30, 2016","http://dev.squibdrive.net/drive/file/1/14/alert.mp3","","Active",""
