"Key","Campaign Name","Start Date","End Date","UURL"
"1000000","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000000"
"1000001","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000001"
"1000002","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000002"
"1000003","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000003"
"1000004","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000004"
"1000005","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000005"
"1000006","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000006"
"1000007","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000007"
"1000008","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000008"
"1000009","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000009"
"1000010","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000010"
"1000011","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000011"
"1000012","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000012"
"1000013","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000013"
"1000014","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000014"
"1000015","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000015"
"1000016","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000016"
"1000017","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000017"
"1000018","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000018"
"1000019","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000019"
"1000020","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000020"
"1000021","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000021"
"1000022","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000022"
"1000023","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000023"
"1000024","5,000,000","Jun 08 2016","Nov 30 2016","http://squi.bz/campaign/5,000,000/USB=1000024"
